geo,name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ben,Benin,46.15772,46.19379,44.70927,43.71837,45.52815,44.61943,45.14782,42.08101,38.86807,38.49666,36.32785,34.35774,34.23102,33.62392,31.5337,30.53867,33.19651,31.85509,34.54214,34.99289,35.43269,32.66465,32.5012,33.15764,33.31156,31.54555,33.67106,33.27995,34.38009,37.85688,34.65495,35.04377,33.9419,34.11946,32.29399,33.09016,35.7053,35.78193,36.57665,24.53433,23.54123,25.04816,25.38273,24.45398,26.52085,26.68943,26.6318,26.97109,26.82616,26.97896,25.84114,25.797,25.76898,25.2754,25.61845,26.39209,27.75364,28.48902,28.06477,26.8758,27.10918,28.52895,26.89668,25.40197,24.23172
bfa,Burkina Faso,38.48453,38.30701,37.85878,38.49363,38.68111,35.41478,36.2672,33.41198,31.59393,32.01766,30.51187,30.59941,31.9021,29.39852,30.82462,28.86616,29.01546,28.42249,30.1206,29.37995,28.44634,29.80398,27.51931,27.61483,28.49884,33.90417,29.36043,27.81633,28.5467,27.62771,27.95002,29.79327,28.80981,30.23105,32.94777,33.21722,36.37917,33.73878,36.56356,27.25229,24.91404,26.92043,26.37245,25.96098,23.38144,26.77092,25.22898,21.83949,27.31428,23.20485,24.14339,23.04365,23.75601,23.64109,23.69377,22.6465,21.71472,20.58632,20.99747,18.22052,17.91516,17.29022,18.49671,16.33446,18.58772
bgd,Bangladesh,57.47431,57.98824,57.01857,57.14667,53.35684,52.81869,53.94737,55.85248,53.55574,55.41282,54.5615,51.03131,59.60991,56.63885,56.63655,61.95414,51.91446,48.89806,54.25031,52.45201,32.82389,31.95152,31.4417,31.04603,34.69863,33.00673,32.36915,32.6639,31.31918,30.56164,30.48983,31.67702,30.51753,27.32109,26.72554,27.30437,23.26621,23.24614,22.58742,22.65841,22.71815,21.84834,20.58413,19.81272,19.26696,18.57104,18.03402,17.80654,17.5957,17.10463,17.00118,16.80999,16.17756,15.49328,15.35162,14.783,13.46479,12.95728,12.48008,11.97532,11.99969,11.63286,11.2176,11.00369,11.1648
bgr,Bulgaria,,,,,,,,,,,,,,,,,,,,,14.4186,16.62557,17.17782,14.47948,15.81262,11.86858,12.91955,11.79619,11.45935,10.94186,17.74597,15.39057,11.61803,9.93443,11.49163,9.21832,9.59258,20.47684,13.41156,12.95862,10.97048,10.60325,9.71057,9.09563,8.45219,7.28369,6.09628,4.65178,5.86963,4.23579,4.0325,4.66137,4.43014,4.51542,4.55872,4.06198,4.0549,4.04318,3.39668,3.19616,3.43289,4.32692,3.71124,2.51758,2.0654
bhr,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26876,0.29227,0.26481,0.33728,0.28554,0.27987,0.26518,0.26428,0.28797,0.30191,0.316,0.27707,0.27511,0.26867,0.30316,0.26863,0.24616,0.25149,
bhs,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,2.04302,1.9046,1.81193,1.82756,,2.01251,2.20853,2.83373,2.66301,2.46129,2.67508,2.83415,2.64691,1.56182,1.37856,1.26759,1.34465,1.19863,1.51332,1.34722,1.16175,1.06444,1.17042,1.09339,1.04313,0.90964,1.09749,1.0923,1.07272,0.9279,0.83849,0.8152,0.87704,0.77047,0.67711,0.53476,0.77582,0.45443,0.41448,0.45445,0.51475
bih,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.85332,20.7,20.7,17.51805,15.96041,13.26299,9.00146,9.12058,8.8735,8.10502,8.5835,8.29737,8.05429,7.70495,7.20727,7.0766,6.79676,6.75775,6.13767,6.84139,5.95106,6.03757,6.16559,5.43105,5.71878,5.45004,5.91444,5.01932,4.82625,4.65322,4.25445
blr,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.86374,22.22222,22.82609,17.15736,13.58961,15.7665,15.0986,13.41793,12.06176,12.70056,12.09683,10.35043,10.12843,8.63563,8.85025,8.51859,8.57873,8.30317,8.66625,8.1309,8.89193,8.00189,8.13094,6.80909,7.30306,6.28321,6.89528,7.5658,6.59011,6.79467,7.07724,6.70662,8.04182,7.2486,6.86598
blz,Belize,,,,,,,,,,,,,,,,,,,28.98019,28.06324,18.02642,17.04698,14.24261,13.78981,13.34596,13.03515,13.29053,14.69954,14.03488,13.32722,13.37842,12.23413,11.83483,11.18417,11.40101,11.97729,11.81172,11.32356,10.63475,11.05724,10.63746,9.5029,9.17527,10.45534,10.34015,9.73592,9.51513,8.68725,8.33285,8.54309,8.76439,8.88591,10.41688,10.09224,10.17888,9.61446,7.70244,8.56021,7.1427,6.53603,8.37555,7.92175,7.74932,8.10115,
bol,Bolivia,,,,,,,,,,,19.50836,19.84481,19.25239,20.12108,21.24637,20.84459,20.6139,20.17776,18.49552,18.05011,16.94874,17.27928,16.08621,19.45814,21.54583,19.01563,16.93318,16.29615,15.73538,15.26314,15.3536,15.5421,14.4042,14.64796,15.24429,14.8593,14.18468,14.91826,12.62543,13.25799,12.96581,13.25565,12.95512,13.42724,13.32238,11.79272,10.93755,10.01116,10.4424,11.15241,10.38991,9.76959,9.81216,9.96698,9.74022,10.23949,11.17188,11.58934,11.48192,12.22176,14.00093,12.92292,12.46873,13.46613,
bra,Brazil,,,,,,,,,,,,,,,,,,,,,,11.4508,5.64905,10.0561,11.85733,11.14536,10.36364,9.36152,9.79724,8.44159,6.96344,6.84139,6.80608,6.77811,8.72199,5.01167,4.76841,4.68505,4.75004,4.64598,4.75046,4.80104,5.47527,6.16718,5.66531,4.65117,4.37004,4.41692,4.56785,4.47677,4.11576,4.34203,4.16833,4.50689,4.32561,4.31915,4.89135,4.60059,4.4204,4.20501,5.71149,6.55876,5.76747,6.02306,5.57967
brb,Barbados,,,,,,,,,,,,,,,,11.50668,8.7922,9.22992,8.24629,8.14359,7.47544,5.751,5.21145,5.45455,5.13843,4.86772,4.70286,5.00583,4.74218,3.72243,3.44453,3.45719,3.43638,3.21928,2.44049,3.20251,3.33403,2.67264,1.99435,2.33451,1.99542,2.11819,1.88959,1.9785,1.6432,1.5866,1.45016,1.34702,1.29586,1.43756,1.79955,1.69849,1.849,1.97161,1.88338,1.80229,1.85338,1.90604,2.37119,2.46991,3.31795,2.29079,1.63502,1.85401,
